Date,PM,LMT,MCD,MMM,AAPL,MSFT,TXN,CSCO
2016-03-14,64.94917297363281,180.01956176757812,102.71916961669922,126.23416137695312,24.238021850585938,47.87602615356445,46.35626983642578,22.215747833251953
2016-03-21,64.55220794677734,177.64816284179688,102.0651626586914,125.56993865966797,24.18081283569336,48.52045822143555,46.03960418701172,21.92560386657715
2016-03-28,66.6844253540039,181.8123016357422,105.15303039550781,127.91389465332031,25.16937255859375,49.73773193359375,47.04647445678711,22.49805450439453
2016-04-04,67.43983459472656,184.4118194580078,105.93119812011719,127.22676849365234,24.865018844604492,48.70842361450195,47.005863189697266,21.713878631591797
2016-04-11,66.92509460449219,184.01254272460938,105.78221130371094,128.86831665039062,25.1373348236084,49.80933380126953,47.8503303527832,22.07863426208496
2016-04-18,64.79253387451172,184.84373474121094,103.89469909667969,128.77671813964844,24.18310546875,46.34549331665039,47.6473388671875,22.276477813720703
2016-04-25,65.59474182128906,189.36639404296875,104.7142562866211,127.79937744140625,21.450830459594727,44.63595962524414,46.315677642822266,21.754180908203125
2016-05-02,67.06546783447266,195.78778076171875,108.10016632080078,128.9523468017578,21.217424392700195,45.101383209228516,46.74201965332031,20.994491577148438
2016-05-09,67.44654083251953,197.3035125732422,106.65142822265625,128.5171356201172,20.840105056762695,45.718971252441406,46.67665481567383,20.994491577148438
2016-05-16,65.54124450683594,195.6329803466797,101.46083068847656,125.98983001708984,21.922163009643555,45.30724334716797,47.8288688659668,22.134033203125
2016-05-23,66.30335998535156,195.6492919921875,102.03204345703125,129.8109893798828,23.103227615356445,47.15635681152344,49.86361312866211,22.88581657409668
2016-05-30,67.60030364990234,196.03500366210938,100.45913696289062,129.41897583007812,22.543777465820312,46.67866897583008,49.463191986083984,23.0519962310791
2016-06-06,67.72064208984375,197.39706420898438,102.03983306884766,129.5572967529297,22.7532901763916,46.39926528930664,50.59088897705078,22.972858428955078
2016-06-13,67.33956146240234,194.9191436767578,101.96479034423828,129.84942626953125,21.947490692138672,45.182498931884766,50.35391616821289,22.9095516204834
2016-06-20,65.32064056396484,196.67501831054688,99.60477447509766,129.9877471923828,21.503154754638672,44.91211700439453,49.47137451171875,21.959936141967773
2016-06-27,68.39422607421875,204.59286499023438,100.40531921386719,134.9222412109375,22.076416015625,46.110843658447266,50.75431823730469,22.790849685668945
2016-07-04,69.61649322509766,206.68519592285156,101.16421508789062,136.13668823242188,22.258296966552734,47.13833999633789,51.702232360839844,23.154870986938477
2016-07-11,69.98117065429688,210.8533477783203,103.08226013183594,139.42636108398438,22.741775512695312,48.400169372558594,52.99335479736328,23.81300163269043
