PM,LMT,MCD,MMM,AAPL,MSFT,TXN,CSCO
64.94918823242188,180.01953125,102.71915435791016,126.23416900634766,24.238019943237305,47.876033782958984,46.35627746582031,22.215744018554688
65.22705841064453,180.30477905273438,102.49565124511719,125.86003112792969,24.235729217529297,48.20719909667969,46.299434661865234,22.1059627532959
64.67218017578125,179.87283325195312,102.50392150878906,125.91348266601562,24.42108726501465,48.39516067504883,46.201995849609375,22.176538467407227
64.89280700683594,180.30477905273438,102.81025695800781,125.42484283447266,24.28607177734375,48.305641174316406,45.958404541015625,21.823654174804688
65.22705078125,177.64816284179688,102.0651626586914,125.56990814208984,24.180809020996094,48.52045440673828,46.03960418701172,21.92559814453125
65.4209213256836,178.511962890625,101.96583557128906,126.95951843261719,24.070966720581055,47.9207878112793,45.8934440612793,21.878551483154297
66.08944702148438,179.89727783203125,102.62811279296875,125.51644897460938,24.640764236450195,48.967987060546875,46.61612319946289,22.035381317138672
65.97578430175781,181.6901092529297,104.16789245605469,127.31836700439453,25.07097053527832,49.27230453491211,47.39561462402344,22.317689895629883
65.58805084228516,180.5002899169922,104.0437240600586,127.22676086425781,24.940536499023438,49.43339920043945,46.62424087524414,22.325531005859375
66.68444061279297,181.812255859375,105.15302276611328,127.9139633178711,25.16936683654785,49.73771667480469,47.04646301269531,22.498050689697266
67.09222412109375,182.6434783935547,105.60836029052734,127.05113220214844,25.427947998046875,49.612422943115234,46.86783218383789,22.26856231689453
67.02538299560547,183.85765075683594,105.45105743408203,126.60065460205078,25.1281795501709,48.833717346191406,46.859703063964844,21.825407028198242
67.63370513916016,184.68075561523438,105.56694793701172,127.36418151855469,25.39133644104004,49.33494186401367,47.38749313354492,22.157766342163086
67.2392807006836,184.55850219726562,106.08023834228516,127.63143920898438,24.837556838989258,48.74422836303711,46.40499496459961,21.841232299804688
67.4398422241211,184.41180419921875,105.93120574951172,127.22676086425781,24.865022659301758,48.70841598510742,47.005863189697266,21.91244888305664
67.0721664428711,183.06724548339844,105.6000747680664,127.19621276855469,24.947399139404297,48.60995864868164,46.94902038574219,21.857057571411133
67.94123840332031,184.1510772705078,105.6414566040039,128.29568481445312,25.272342681884766,48.914276123046875,47.45246124267578,21.872882843017578
